Symbol,Company Name,Div. Yield,Rating,MC Group,FCF Growth,FCF Growth 3Y,ROE,ROIC,ROIC (5Y),ROE (5Y),Prof / Employee,Empl. Growth,Div. Growth 5Y,In Index,Empl. Change,PEG Ratio,Return 3Y,PT Upside (%),Div. Growth,EPS Growth (Qtrs),OpInc Growth (Q),Oper. Margin,FCF Growth (Q),Current Ratio,Debt / Equity,Market Cap,Industry,% Change,Country,Stock Price,Rev. Growth,Open,Close,Premkt. Chg%,52W Low,Rel. Volume,Beta (5Y),52W High,Afterhr. Price,Low,Volume,High,Premkt. Price,Afterhr. Chg%,Avg. Volume,Forward PE,Forward PS,Ent. Value,EV/Earnings,EV/FCF,PB Ratio,EV/Sales,EV/EBITDA,Earnings Yield,PS Ratio,P/FCF,Fwd EV/S,EV/EBIT,FCF Yield,Sector,Exchange,Employees,Founded,IPO Date,10K Date,Last Report Date,Earnings Date,Tags,Is SPAC,FY End,52W Low Chg,ATH Chg (%),ATL Chg (%),Return IPO (Open),ATL Date,ATH Date,52W High Chg,ATH,ATL,Return IPO,Change 1W,Change 6M,Change 3Y,Change 15Y,Change 1M,Change YTD,Change 5Y,Change 20Y,Change 3M,Change 1Y,Change 10Y,Return 1W,Return 6M,Return 15Y,Return 1M,Return YTD,Return 5Y,Return 20Y,Return 3M,Return 1Y,Return 10Y,Analysts,Price Target,EPS Gr. This Q,EPS Gr. Next Q,EPS Gr. This Y,EPS Gr. Next Y,Rev Gr. This Q,Rev Gr. Next Y,Rev Gr. Next Q,EPS Gr. Next 5Y,Rev Gr. This Y,Rev Gr. Next 5Y,Div. ($),Div. Gr. Years,Payout Freq.,Ex-Div Date,Payout Ratio,Shareh. Yield,Buyback Yield,Payment Date,Last Div.,Shares,Shares Ch. (QoQ),Float,Shares Insiders,Shares Ch. (YoY),Shares Institut.,Revenue,Rev. Growth 3Y,Rev Growth (Qtrs),Rev. Growth 5Y,Rev. Growth (Q),Rev Growth (Yrs),Net Income,NetInc Growth 3Y,NetInc Growth (Qtrs),NetInc Growth,NetInc Growth 5Y,NetInc Growth (Q),NetInc Growth (Yrs),EPS,EPS Growth 3Y,EPS Growth,EPS Growth 5Y,EPS Growth (Q),EPS Growth (Yrs),Gross Profit,GP Growth 3Y,OpInc Growth,OpInc Growth 5Y,GP Growth,GP Growth 5Y,EBIT,EBITDA,OpInc Growth 3Y,Op. Income,GP Growth (Q),Gross Margin,Profit Margin,EBIT Margin,FCF Margin,Pretax Margin,EBITDA Margin,Operating CF,Net CF,FCF - SBC,Investing CF,CapEx,FCF / Share,Financing CF,FCF,FCF Growth 5Y,SBC,R&D / Rev,R&D,SBC / Rev,Total Cash,Debt Growth (QoQ),Net Cash,Net Cash Growth,Debt Growth (3Y),Total Debt,Cash / M.Cap,Debt Growth (5Y),Debt Growth (YoY),Assets,Working Capital,Liabilities,Net WC,WC Turnover,Equity,Debt / EBITDA,Quick Ratio,Debt / FCF,Int. Cov.,Short % Float,Short % Shares,Short Ratio,ROA,ROA (5Y),Rev / Employee,Last Stock Split,Last Split Date,Income Tax,Tax Rate,Tax / Revenue,Z-Score,Inv. Turnover,Views,F-Score,Asset Turnover,RSI,200 MA,50vs200 MA,50MA Chg %,ATR,50 MA,200MA Chg %
NVDA,NVIDIA Corporation,0.02%,Strong Buy,Mega-Cap,,,,,,,,16.67%,20.11%,"SP500, NASDAQ100, DOW30",6000,,645.07%,48.06%,,12,,,,,,,Semiconductors,-3.01%,,177.82,,179.84,183.34,-2.17%,86.62,96.55%,,212.19,178.03,176.82,188979974,182.76,179.37,0.12%,195730481.05,,,,,,,,,,,,,,,Technology,NASDAQ,,,1999-01-22,2026-02-25,2026-01-25,,"virtual-reality, augmented-reality, metaverse, gaming, artificial-intelligence, magnificent-seven",No,January,105.29%,-16.20%,533893.99%,,1999-04-26,2025-10-29,-16.20%,212.19,0.0333,,0.36%,6.47%,644.33%,34168.64%,3.46%,-4.65%,1326.90%,43302.49%,-2.52%,51.59%,21750.58%,0.36%,6.48%,37277.32%,3.46%,-4.65%,1330.97%,47241.40%,-2.52%,51.64%,22214.78%,38,263.29,73.55%,138.48%,69.45%,32.62%,71.72%,29.67%,81.68%,22.05%,67.04%,25.95%,0.04,2,Quarterly,2026-03-11,0.82%,1.19%,1.17%,2026-04-01,0.01,,-0.21%,,,-1.17%,,,,11,,,6,,,12,,,,3,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05%,,,,,,,,,,,,1522,4,,42.416,176.136,50over200,,6.382758952819404,,0.96%
AAPL,Apple Inc.,0.40%,Buy,Mega-Cap,,,,,,,,1.22%,4.49%,"SP500, NASDAQ100, DOW30",2000,,72.94%,15.40%,4.00%,5,,,,,,,Consumer Electronics,-1.09%,,257.46,,258.63,260.29,-0.73%,169.21,89.80%,,288.62,256.65,254.37,41115226,258.77,258.4,-0.31%,45783062.25,,,,,,,,,,,,,,,Technology,NASDAQ,,,1980-12-12,2025-10-31,2025-12-27,,"augmented-reality, metaverse, virtual-reality, magnificent-seven, faang",No,September,52.15%,-10.80%,404711.32%,,1985-06-14,2025-12-03,-10.80%,288.62,0.0636,,-2.54%,7.41%,70.47%,1902.49%,-6.69%,-5.30%,112.04%,10543.24%,-7.65%,9.21%,899.73%,-2.54%,7.62%,2286.83%,-6.60%,-5.21%,117.70%,12588.42%,-7.56%,9.69%,1003.57%,28,297.1,19.98%,12.07%,16.37%,9.82%,16.85%,6.68%,10.30%,14.33%,14.09%,7.82%,1.04,14,Quarterly,2026-02-09,13.19%,2.90%,2.50%,2026-02-12,0.26,,-0.36%,,,-2.50%,,,,7,,,2,,,5,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.91%,,,,,,,,,,,,431,8,,40.82,244.176,50over200,,6.2833978542519615,,5.44%
GOOGL,Alphabet Inc.,0.28%,Strong Buy,Mega-Cap,,,,,,,,4.09%,,"SP500, NASDAQ100",7497,,221.17%,17.86%,5.00%,11,,,,,,,Internet Content & Information,-0.78%,,298.52,,296.09,300.88,-1.59%,140.53,68.86%,,349,297.38,295.18,25574422,300.53,296.09,-0.38%,37141751.65,,,,,,,,,,,,,,,Communication Services,NASDAQ,,,2004-08-19,2026-02-05,2025-12-31,,"augmented-reality, artificial-intelligence, magnificent-seven, faang, virtual-reality, metaverse",No,December,112.42%,-14.46%,12343.52%,,2004-08-19,2026-02-03,-14.46%,349,2.399,,-4.25%,27.03%,218.76%,1888.01%,-9.88%,-4.63%,184.70%,3057.27%,-7.08%,72.53%,717.62%,-4.25%,27.23%,1903.10%,-9.88%,-4.63%,186.85%,3081.30%,-7.02%,73.21%,723.79%,44,351.82,-4.57%,22.97%,9.25%,16.35%,21.83%,15.06%,20.98%,15.57%,20.60%,14.32%,0.84,2,Quarterly,2026-03-09,7.78%,2.02%,1.74%,2026-03-16,0.21,,0.20%,,,-1.74%,,,,22,,,24,,,11,,,,3,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61%,,,,,,,,,,,,330,6,,34.79,253.055,50over200,,8.362425244667772,,17.97%
GOOG,Alphabet Inc.,0.28%,Strong Buy,Mega-Cap,,,,,,,,4.09%,,"SP500, NASDAQ100",7497,,219.65%,17.94%,5.00%,11,,,,,,,Internet Content & Information,-0.87%,,298.3,,296.07,300.91,-1.88%,142.66,77.42%,,350.15,297.18,295.25,17611948,300.33,295.25,-0.38%,22747473.35,,,,,,,,,,,,,,,Communication Services,NASDAQ,,,2004-08-19,2026-02-05,2025-12-31,,,No,December,109.10%,-14.81%,1127.02%,,2015-01-12,2026-02-03,-14.81%,350.15,24.311,,-4.22%,26.84%,217.27%,,-9.97%,-4.94%,182.94%,,-7.39%,70.47%,739.22%,-4.22%,27.04%,,-9.97%,-4.94%,185.07%,,-7.33%,71.13%,745.52%,44,351.82,-4.57%,22.97%,9.25%,16.35%,21.83%,15.06%,20.98%,15.57%,20.60%,14.32%,0.84,2,Quarterly,2026-03-09,7.78%,2.02%,1.74%,2026-03-16,0.21,,0.20%,,,-1.74%,,,,22,,,24,,,11,,,,3,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37%,,,,,,,,,,,,218,6,,34.228,253.755,50over200,,8.25331170991017,,17.55%
MSFT,Microsoft Corporation,0.89%,Strong Buy,Mega-Cap,,,,,,,,,10.21%,"SP500, NASDAQ100, DOW30",0,,63.99%,47.51%,10.13%,12,,,,,,,Software - Infrastructure,-0.42%,,408.96,,409.2,410.68,-0.29%,344.79,81.48%,,555.45,407.28,408.51,31121585,413.05,409.49,-0.41%,38195954.6,,,,,,,,,,,,,,,Technology,NASDAQ,,,1986-03-13,2025-07-30,2025-12-31,,"artificial-intelligence, esports, magnificent-seven, gaming, metaverse",No,June,18.61%,-26.37%,462001.69%,,1986-03-13,2025-07-31,-26.37%,555.45,0.0885,,4.13%,-17.38%,60.19%,1475.77%,3.88%,-15.44%,76.58%,1418.60%,-15.36%,1.98%,686.01%,4.13%,-17.04%,1958.09%,4.12%,-15.24%,84.02%,2075.49%,-15.16%,2.76%,793.30%,34,603.27,19.71%,18.96%,24.05%,14.54%,18.45%,15.57%,16.86%,18.94%,18.77%,16.43%,3.64,20,Quarterly,2026-02-19,21.78%,1.01%,0.12%,2026-03-12,0.91,,-0.08%,,,-0.12%,,,,34,,,9,,,12,,,,2,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76%,,,,,,,,,,,,843,6,,47.321,484.555,50under200,,10.402722289067029,,-15.60%
AMZN,"Amazon.com, Inc.",,Strong Buy,Mega-Cap,,,,,,,,1.29%,,"SP500, NASDAQ100, DOW30",20000,,124.67%,31.12%,,12,,,,,,,Internet Retail,-2.62%,,213.21,,214.99,218.94,-1.80%,161.38,80.77%,,258.6,212.5193,212.53,51349471,217.32,215,-0.32%,63652830,,,,,,,,,,,,,,,Consumer Discretionary,NASDAQ,,,1997-05-15,2026-02-06,2025-12-31,,"artificial-intelligence, faang, magnificent-seven",No,December,32.12%,-17.55%,324915.24%,,1997-05-22,2025-11-03,-17.55%,258.6,0.0656,,1.53%,-8.23%,124.67%,2383.81%,-4.26%,-7.63%,42.12%,11356.74%,-7.11%,2.33%,641.42%,1.53%,-8.23%,2383.95%,-4.26%,-7.63%,42.12%,11359.82%,-7.11%,2.33%,641.42%,44,279.57,4.14%,9.16%,10.67%,21.60%,15.98%,11.65%,14.50%,18.52%,14.53%,11.75%,0,,,,,-0.99%,-0.99%,,0,,0.17%,,,0.99%,,,,116,,,30,,,12,,,,3,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81%,,,,,,,,,,,,574,5,,47.485,224.484,50over200,,6.476754410701928,,-5.02%
META,"Meta Platforms, Inc.",0.34%,Strong Buy,Mega-Cap,,,,,,,,6.48%,,"SP500, NASDAQ100",4798,,250.53%,29.60%,3.70%,1,,,,,,,Internet Content & Information,-2.38%,,644.86,,647.9,660.57,-2.01%,479.8,104.33%,,796.25,641.35,636.11,13158247,649.47,647.3,-0.54%,12612188.1,,,,,,,,,,,,,,,Communication Services,NASDAQ,,,2012-05-18,2026-01-29,2025-12-31,,"metaverse, social-media, virtual-reality, artificial-intelligence, magnificent-seven, faang",No,December,34.40%,-19.01%,3574.42%,,2012-09-04,2025-08-15,-19.01%,796.25,17.55,,-0.51%,-14.30%,248.10%,,-3.78%,-2.31%,144.01%,,-4.24%,-1.77%,494.94%,-0.51%,-14.17%,,-3.78%,-2.31%,145.71%,,-4.16%,-1.46%,499.10%,41,835.77,5.41%,2.43%,30.07%,15.32%,33.12%,18.21%,27.58%,19.17%,26.82%,17.38%,2.22,2,Quarterly,2026-03-16,8.94%,1.87%,1.53%,2026-03-26,0.525,,-0.27%,,,-1.53%,,,,12,,,3,,,1,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07%,,,,,,,,,,,,349,5,,45.705,691.501,50under200,,20.02097420750626,,-6.74%
AVGO,Broadcom Inc.,0.79%,Strong Buy,Mega-Cap,,,,,,,,-10.81%,12.60%,"SP500, NASDAQ100",-4000,,446.26%,30.49%,10.96%,5,,,,,,,Semiconductors,-0.69%,,330.48,,328.28,332.77,-1.26%,138.1,155.59%,,414.61,330.81,327.4,39185398,343.51,328.58,0.10%,25185505.4,,,,,,,,,,,,,,,Technology,NASDAQ,,,2009-08-06,2025-12-18,2026-02-01,,artificial-intelligence,No,November,139.31%,-20.29%,22962.11%,,2009-11-04,2025-12-10,-20.29%,414.61,1.433,,3.42%,-1.32%,422.28%,9978.68%,6.43%,-4.51%,634.17%,,-15.31%,72.50%,2162.63%,3.42%,-0.96%,13971.42%,6.43%,-4.51%,716.10%,,-15.15%,74.06%,2818.70%,29,431.24,80.76%,114.67%,117.11%,39.00%,30.86%,37.85%,39.85%,37.83%,56.14%,30.36%,2.6,16,Quarterly,2026-03-23,48.33%,-0.16%,-0.94%,2026-03-31,0.65,,-0.02%,,,0.94%,,,,50,,,16,,,5,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05%,,,,,,,,,,,,529,7,,50.979,320.7,50over200,,14.484209706898872,,3.05%
TSM,Taiwan Semiconductor Manufacturing Company Limited,0.72%,Buy,Mega-Cap,,,,,,,,9.61%,11.99%,,7347,,291.48%,18.52%,32.65%,8,,,,,,,Semiconductors,-4.23%,,338.89,,343.5,353.86,-2.69%,134.25,109.51%,,390.205,339.39,336.69,13798589,348.72,344.35,0.15%,12599783.3,,,,,,,,,,,,,,,Technology,NYSE,,,1994-09-05,2025-04-17,2025-12-31,,artificial-intelligence,No,December,152.43%,-13.15%,11947.28%,,1998-01-12,2026-02-25,-13.15%,390.205,2.813,,-9.53%,39.23%,277.43%,2630.78%,2.47%,11.52%,180.54%,3515.60%,14.99%,83.90%,1274.81%,-9.53%,39.86%,3701.61%,2.47%,11.52%,199.53%,5959.62%,15.22%,85.83%,1588.73%,6,401.67,47.37%,43.27%,37.49%,23.62%,34.20%,24.19%,29.90%,20.71%,33.46%,21.36%,2.429552,3,Quarterly,2025-12-11,115.16%,0.71%,-0.00%,2026-01-08,0.628382,,0.00%,,,0.00%,,,,8,,,2,,,8,,,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38%,,,,,,,,,,,,264,8,,40.954,277.354,50over200,,13.696986719279852,,22.19%
TSLA,"Tesla, Inc.",,Hold,Mega-Cap,,,,,,,,7.26%,,"SP500, NASDAQ100",9120,,100.58%,-0.15%,,,,,,,,,Auto Manufacturers,-2.17%,,396.73,,398.09,405.55,-1.84%,214.25,110.26%,,498.83,394.6895,394.21,64051149,402.35,398.1,-0.51%,58088613.35,,,,,,,,,,,,,,,Consumer Discretionary,NASDAQ,,,2010-06-29,2026-01-29,2025-12-31,,"car-company, magnificent-seven, electric-vehicles, robotics",No,December,85.17%,-20.47%,39624.64%,,2010-07-07,2025-12-22,-20.47%,498.83,0.9987,,-1.44%,13.08%,100.58%,23756.28%,-0.12%,-11.78%,99.05%,,-12.81%,42.15%,2860.01%,-1.44%,13.08%,23751.51%,-0.12%,-11.78%,99.05%,,-12.81%,42.15%,2860.08%,33,396.15,244.97%,39.55%,92.87%,27.79%,21.91%,15.86%,12.59%,60.76%,11.02%,23.39%,0,,,,,-0.86%,-0.86%,,0,,0.37%,,,0.86%,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.73%,,,,,,,,,,,,382,6,,41.053,392.098,50over200,,14.107987445766463,,1.18%
